Gene X,Probe X,Gene Y,Probe Y,Correlation,Variance Rank X,Variance Rank Y,Chromosome X,Chromosome Y
,AFFX-HUMRGE/M10098_5_at,,AFFX-HUMRGE/M10098_M_at,0.9739893939393088,1,12,,
,AFFX-HUMRGE/M10098_5_at,,AFFX-M27830_5_at,0.9008333537182487,1,35,,
,AFFX-HUMRGE/M10098_5_at,,AFFX-HUMRGE/M10098_3_at,0.9453162905913699,1,113,,
,AFFX-HUMRGE/M10098_5_at,NASP,242918_at,0.7039082294908466,1,990,,1
XIST,224588_at,XIST,224590_at,0.9802353728384732,2,11,X,X
XIST,224588_at,XIST,221728_x_at,0.9821202043375309,2,14,X,X
XIST,224588_at,XIST,214218_s_at,0.982427443427288,2,21,X,X
XIST,224588_at,XIST,227671_at,0.9681332687485146,2,32,X,X
XIST,224588_at,XIST,224589_at,0.9273566940999073,2,208,X,X
OTX2,242128_at,OTX2,231731_at,0.9671384791325601,3,30,14,14
OTX2,242128_at,OTX2-AS1,1561319_at,0.8129962407553188,3,434,14,14
FOXG1,206018_at,LHX2,206140_at,0.7082882408827404,4,9,14,9
NEFL,221805_at,NEFM,205113_at,0.8858797177078117,5,68,8,8
NEFL,221805_at,NEFL,221916_at,0.977417475920994,5,88,8,8
NEFL,221805_at,GABRA1,244118_at,0.7050447757670983,5,174,8,5
NEFL,221805_at,SYT1,203998_s_at,0.7209057690036204,5,176,8,12
NEFL,221805_at,SYT1,203999_at,0.7439408384046127,5,238,8,12
NEFL,221805_at,GABRB2,1557122_s_at,0.746933240209481,5,357,8,5
NEFL,221805_at,NEFL,221801_x_at,0.9306004020833955,5,375,8,8
NEFL,221805_at,PACSIN1,227053_at,0.7632707704388435,5,522,8,6
NEFL,221805_at,SLC8A1,1556583_a_at,0.7150743754952926,5,571,8,2
NEFL,221805_at,NRGN,204081_at,0.726986566618736,5,669,8,11
NEFL,221805_at,EGR4,207768_at,0.7079648306054775,5,747,8,2
NEFL,221805_at,SYN2,229039_at,0.7537721172422114,5,830,8,3
STMN2,203001_s_at,GABRG2,1568612_at,0.7933599853157067,6,13,8,5
STMN2,203001_s_at,STMN2,203000_at,0.9934727673731496,6,16,8,8
STMN2,203001_s_at,MYT1L,210016_at,0.8607158870391318,6,27,8,2
STMN2,203001_s_at,ST18,206135_at,0.7510191145902794,6,29,8,8
STMN2,203001_s_at,NEUROD1,206282_at,0.7423937637998399,6,55,8,2
STMN2,203001_s_at,BHLHE22,228636_at,0.7630482308871931,6,62,8,8
STMN2,203001_s_at,MAP4,235066_at,0.8686012548284615,6,75,8,3
STMN2,203001_s_at,SLC17A6,220551_at,0.7464970484991952,6,92,8,11
STMN2,203001_s_at,SV2B,205551_at,0.7933550948240415,6,112,8,15
STMN2,203001_s_at,NEUROD1,1556057_s_at,0.7513648571932493,6,116,8,2
STMN2,203001_s_at,ELAVL2,228260_at,0.8185666843283286,6,120,8,9
STMN2,203001_s_at,INA,204465_s_at,0.8643642126992741,6,123,8,10
STMN2,203001_s_at,ELAVL4,238073_at,0.7630253083909638,6,126,8,1
STMN2,203001_s_at,SYT4,223529_at,0.8250860420866576,6,129,8,18
STMN2,203001_s_at,UNC13C,1556096_s_at,0.7673809769494178,6,134,8,15
STMN2,203001_s_at,CHGB,204260_at,0.7975939951677922,6,135,8,20
STMN2,203001_s_at,SH3GL2,205751_at,0.7685900132247553,6,137,8,9
STMN2,203001_s_at,SNAP25,202508_s_at,0.7427026615956391,6,166,8,20
STMN2,203001_s_at,CPEB3,239765_at,0.779287451051739,6,182,8,10
STMN2,203001_s_at,RBFOX3,235468_at,0.7003310451067113,6,185,8,17
STMN2,203001_s_at,SYT13,226086_at,0.7234837929444301,6,213,8,11
STMN2,203001_s_at,GABRB3,227690_at,0.7472653875983245,6,231,8,15
STMN2,203001_s_at,CELF4,238966_at,0.8487308795404549,6,270,8,18
STMN2,203001_s_at,RAB3C,229300_at,0.771174837441135,6,274,8,5
STMN2,203001_s_at,HMP19,218623_at,0.7182426198270969,6,307,8,5
STMN2,203001_s_at,CPLX1,223500_at,0.7652092373801552,6,315,8,4
STMN2,203001_s_at,UBE2QL1,226612_at,0.7150829687183419,6,319,8,5
STMN2,203001_s_at,RFPL1S,214120_at,0.7336189870797278,6,337,8,22
STMN2,203001_s_at,RBFOX1,221217_s_at,0.7194491119399447,6,354,8,16
STMN2,203001_s_at,ELAVL4,206051_at,0.7926984444123936,6,361,8,1
STMN2,203001_s_at,KCNJ6,232411_at,0.7600983619015521,6,368,8,21
STMN2,203001_s_at,SCN3B,204723_at,0.7733149893645319,6,386,8,11
STMN2,203001_s_at,RGS7,206290_s_at,0.7049918969585257,6,392,8,1
STMN2,203001_s_at,OLFM3,1554526_at,0.7134208062620256,6,397,8,1
STMN2,203001_s_at,RBFOX3,229406_at,0.7223854038411497,6,444,8,17
STMN2,203001_s_at,CELF4,223654_s_at,0.862500030676099,6,445,8,18
STMN2,203001_s_at,CELF5,230497_at,0.7505903184738757,6,453,8,19
STMN2,203001_s_at,SCN3B,204722_at,0.7953775676561429,6,456,8,11
STMN2,203001_s_at,OLFM3,1554524_a_at,0.7585741967784417,6,460,8,1
STMN2,203001_s_at,UNC13C,1556095_at,0.7361744812717145,6,494,8,15
STMN2,203001_s_at,LOC101927137,214432_at,0.7311619590844687,6,496,8,10
STMN2,203001_s_at,DNAJC6,204720_s_at,0.7309745077249096,6,509,8,1
STMN2,203001_s_at,STMN4,221236_s_at,0.7016767652056298,6,527,8,8
STMN2,203001_s_at,ACTL6B,206013_s_at,0.851205435135156,6,551,8,7
STMN2,203001_s_at,CDK5R1,204995_at,0.7999420681908915,6,567,8,17
STMN2,203001_s_at,CAMK4,229029_at,0.7054430217743013,6,616,8,5
STMN2,203001_s_at,CELF4,231220_at,0.8170401868402509,6,617,8,18
STMN2,203001_s_at,RUNDC3A,206196_s_at,0.8004375207838591,6,678,8,17
STMN2,203001_s_at,RBFOX1,1553422_s_at,0.7067744251213709,6,702,8,16
STMN2,203001_s_at,ST8SIA3,230262_at,0.7513807381292286,6,712,8,18
STMN2,203001_s_at,GABRB3,227830_at,0.7306312826978041,6,740,8,15
STMN2,203001_s_at,ADCY1,213245_at,0.7324335691564003,6,762,8,7
STMN2,203001_s_at,UBE2QL1,226618_at,0.7275363964279514,6,770,8,5
STMN2,203001_s_at,ARHGEF7,242999_at,0.8605756717808413,6,814,8,13
STMN2,203001_s_at,AAK1,214956_at,0.7699777541227216,6,875,8,2
STMN2,203001_s_at,SVOP,229818_at,0.8153894428511875,6,881,8,12
STMN2,203001_s_at,CELF5,232416_at,0.702371383664666,6,910,8,19
STMN2,203001_s_at,SNAP25,202507_s_at,0.7260644545529349,6,930,8,20
FAM81B,240065_at,C9orf24,229012_at,0.8871929079035374,7,18,5,9
